phoneme,var_inter,var_resid,icc
i,0.03413588166078435,0.1423495326224122,0.19342041266939122
e,0.020812804550782306,0.16821473813848095,0.11010461361705291
a,0.01615538447785918,0.5511303088790167,0.028478392222904044
o,0.021910525934772853,0.029371335863721443,0.4272568344118929
u,0.04735478996498248,0.18229691606653722,0.20620264827679108
y,0.1570760999355785,1.631505052023464,0.08782162316959016
