pair,stat,p
acoustic_vs_whisper,570.6520900321543,4.050137036009744e-126
acoustic_vs_xlsr,80.6471686372122,2.698408889314464e-19
whisper_vs_xlsr,426.21338383838383,1.0840594790815817e-94
