null_loglik,icc,main_loglik,beta_L2,se_L2,p_L2,beta_Male,p_Male,full_loglik,beta_int,p_int,aic,bic,R2_marg,R2_cond,phoneme,response
-860.5677207409317,0.18470692646200074,-858.7529922521326,-0.15129703356069027,0.09396196021925628,0.10735539707990407,0.0034171552471588843,0.9709911122128556,-858.432541464269,-0.14920414991794606,0.419461622207734,1728.865082928538,1762.0672451876299,0.1533854791004461,0.28188881138303573,i,F1
-135.60519545313343,0.10148892097229151,-135.63207268328665,-0.06833528551371375,0.08839134266099664,0.43946361283192614,-0.003637475338083329,0.9671632902834395,-134.31970986038732,-0.27359992889553547,0.13762915048153088,280.63941972077464,301.5482013217186,0.05637789780283447,0.12395592437708387,e,F1
-3490.2078491386656,0.026676885336831217,-3486.6310838963363,0.1531035745096669,0.0637450269043694,0.01631408756597607,0.0007652810727565133,0.9904216527326482,-3483.0497767462057,0.31157472575822964,0.003342082608773456,6978.099553492411,7014.332562039138,0.021878498610087338,0.031174889160297755,a,F1
23.68223185414351,0.41104062494828925,25.699391345282663,0.013107187341530572,0.0806698342954228,0.8709283387231086,0.14675431198550498,0.06888139655180936,25.71279926145297,-0.02641407346183619,0.8698755426591609,-39.42559852290594,-23.00840783253897,0.27158644174498053,0.524376637374414,o,F1
-426.8913782620066,0.1966211631808823,-420.62927681790916,-0.2131561881394923,0.09007572296456129,0.01796148875689054,0.13348782059288905,0.1383466795891947,-420.61066436126384,-0.034746019149749625,0.8469346316934733,853.2213287225277,880.6382172450135,0.17094352036817612,0.25501870176268016,u,F1
-906.9284498461932,0.08203286408992583,-896.0359648864653,-0.6406716728776949,0.14175177137848752,6.193518010650682e-06,0.17114879679603104,0.22728100697997322,-895.7001069801179,-0.237461043571236,0.3771499224505013,1803.4002139602358,1829.1273653212065,0.0802589847110349,0.08122550189143057,y,F1
-3413.9423248699077,0.025508193932322957,-3413.0923535658603,0.009304650911844568,0.1533955939710562,0.9516316799859673,-0.16106082829826954,0.29388739729429014,-3411.65005515136,-0.5030698723737453,0.08250882231561812,6835.30011030272,6868.502272561812,0.019036524833900746,0.0377604382893375,i,whisper_PC1
-206.1127038246741,0.33654120545417787,-203.25542892010458,0.40374557328954086,0.19525023793906313,0.03865539794919697,-0.013434997598639482,0.9451363541903607,-203.17602038633993,-0.15531327269305148,0.6895773179777076,418.35204077267986,439.2608223736238,0.2541738189108085,0.44747861368288006,e,whisper_PC1
-8504.77389803916,0.04309978868227758,-8501.702685697675,-0.00462052556107599,0.40663808062135853,0.9909340348248629,-0.8950120153698723,0.027739012839951813,-8501.660042507543,-0.23728640449483432,0.7699504328274877,17015.320085015086,17051.55309356181,0.03735399255986187,0.06592853799607232,a,whisper_PC1
-82.56263618114428,0.6538732198873385,-79.216372530694,0.5105078697484448,0.2740493178394636,0.062485890466028114,-0.1822959016046589,0.5059265584092281,-79.20571822057764,-0.07999421531956072,0.8839087984542386,170.41143644115527,186.82862713152224,0.43338058242179006,0.7511723088723654,o,whisper_PC1
-1260.4748264702775,4.879647987931607e-05,-1260.0160864386512,-0.005887772839850189,0.13202394630847752,0.9644291322113996,0.09886148471900423,0.4537231671899512,-1259.9244319420172,-0.11348052342804271,0.6673468615594436,2531.8488638840345,2559.2657524065203,0.0015566488834156955,0.0016950901851145175,u,whisper_PC1
-997.3618691761924,0.0006371033593301079,-997.0895550945013,0.04384653316873479,0.16193084066546004,0.7865654674107906,-0.06831265748473096,0.6733574636198342,-997.0034041541464,-0.13482572263390769,0.6776092254865549,2006.0068083082929,2031.7339596692636,0.0013707264047588515,0.0023011966671411203,y,whisper_PC1
-8335.80582264303,0.09404411694019135,-8329.99181665046,5.014079567632302,2.8857764255388068,0.08229632448870802,-5.598323385988112,0.05242647659755592,-8329.884170971152,-2.6709459829340125,0.6416773815238175,16671.768341942305,16704.970504201396,0.08311581987051975,0.12743985513284714,i,xlsr_PC1
-887.154842758369,0.258983369014727,-883.6113729991583,2.0628473410768318,2.7551712267210116,0.4540269623635538,-5.169369450729823,0.060590155559146416,-883.1315677662063,-5.332106068968499,0.3209177068639679,1778.2631355324127,1799.1719171333566,0.1992298978495133,0.33305933048878067,e,xlsr_PC1
-13334.783139634275,0.08972885996640381,-13334.587892690213,1.835381134411654,3.2031140722963265,0.5666453765399635,1.734884890628271,0.5880793313933903,-13334.578682180609,-0.8693969016157366,0.8920117532932442,26681.157364361217,26717.390372907943,0.07389773835091913,0.1552798302562303,a,xlsr_PC1
-375.57340855272025,0.4030297438978763,-370.6931650261823,-2.5242626722989345,2.2774482542278087,0.2677006622323236,-7.770213518903831,0.000645338262946825,-370.53675820311867,-2.537343791553002,0.5743835612015198,753.0735164062373,769.4907070966043,0.29817909020975725,0.4718110218537076,o,xlsr_PC1
-3181.561294710538,0.12670407399313033,-3181.529059312213,-0.05462984293084808,4.774611353200655,0.990871014627258,0.9568517592145118,0.8411646549061882,-3181.5176830523656,1.4401344146833166,0.880066259874041,6375.035366104731,6402.4522546272165,0.0929725767532864,0.20735690567687154,u,xlsr_PC1
-2404.85418820049,0.05592122745207139,-2400.983307347923,2.126969588973973,2.897788289713843,0.4629502136335035,-6.01350283865494,0.037962644336610236,-2400.698825400461,4.3375300354813175,0.44681250027714936,4813.397650800922,4839.124802161892,0.04108286151619068,0.0648428062934064,y,xlsr_PC1
