rep,gt,ari,k,silhouette_k2
acoustic,l1,0.37389100126742714,4,0.2904753296342298
acoustic,gender,0.1319796954314721,5,0.2904753296342298
whisper,l1,0.3778337531486146,5,0.2619781196117401
whisper,gender,0.042821158690176324,5,0.2619781196117401
xlsr,l1,0.2962962962962963,2,0.3472664952278137
xlsr,gender,1.0,2,0.3472664952278137
